Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%),Transaction_ID,Export_Value_USD,Export_Value_Millions,Region,YoY_Growth_Rate,YoY_Growth_Absolute
Rwanda,France,2019,Export,69.0,3.08,3417.71,0.3,RW-FRA-2019,3417710.0,3.41771,Europe & Central Asia,95.8988438809375,1673.08
Rwanda,France,2020,Export,15.0,0.73,1713.98,0.12,RW-FRA-2020,1713980.0,1.71398,Europe & Central Asia,-49.85004579089507,-1703.73
Rwanda,France,2021,Export,40.0,1.78,3655.97,0.23,RW-FRA-2021,3655970.0,3.65597,Europe & Central Asia,113.30295569376538,1941.9899999999998
Rwanda,France,2022,Export,25.0,1.09,4820.32,0.24,RW-FRA-2022,4820320.0,4.82032,Europe & Central Asia,31.847909036452716,1164.35
Rwanda,Gabon,2018,Export,10.0,0.49,11.73,0.0,RW-GAB-2018,11730.0,0.01173,Africa,,
Rwanda,Gabon,2019,Export,3.0,0.13,8.64,0.0,RW-GAB-2019,8640.0,0.00864,Africa,-26.342710997442452,-3.09
Rwanda,Gabon,2020,Export,14.0,0.68,8.4,0.0,RW-GAB-2020,8400.0,0.008400000000000001,Africa,-2.777777777777779,-0.2400000000000002
Rwanda,Gabon,2021,Export,5.0,0.22,16.74,0.0,RW-GAB-2021,16740.0,0.016739999999999998,Africa,99.28571428571426,8.339999999999998
Rwanda,Gabon,2022,Export,5.0,0.22,9.1,0.0,RW-GAB-2022,9100.0,0.0091,Africa,-45.639187574671446,-7.639999999999999
Rwanda,Georgia,2019,Export,7.0,0.31,6.25,0.0,RW-GEO-2019,6250.0,0.00625,Asia & Middle East,,
Rwanda,Georgia,2021,Export,1.0,0.04,2.32,0.0,RW-GEO-2021,2320.0,0.00232,Asia & Middle East,-62.88,-3.93
Rwanda,Georgia,2022,Export,1.0,0.04,0.88,0.0,RW-GEO-2022,880.0,0.00088,Asia & Middle East,-62.06896551724137,-1.44
